"candidate_name","division","V1","election_year"
"H. Ross Perot","South Atlantic",-1.1576192804723,1992
"Bill Clinton","West North Central",-0.295133407728535,1992
"George Bush","West North Central",0.0030835141912654,1992
"H. Ross Perot","West North Central",-0.929045106864709,1992
"Bill Clinton","West South Central",-0.0352900246537127,1992
"George Bush","West South Central",0.192657773305207,1992
"H. Ross Perot","West South Central",-0.974969885954258,1992
"George Bush","East North Central",0.240672419847966,1988
"Michael S. Dukakis","East North Central",0.506418461417873,1988
"George Bush","East South Central",0.77238717130433,1988
"Michael S. Dukakis","East South Central",0.124485014213883,1988
"George Bush","Middle Atlantic",0.198637838628114,1988
"Michael S. Dukakis","Middle Atlantic",0.344017530867584,1988
"George Bush","Mountain",0.7088547761047,1988
"Michael S. Dukakis","Mountain",0.124300026854575,1988
"George Bush","New England",0.177148398553161,1988
"Michael S. Dukakis","New England",0.718551813681116,1988
"George Bush","Pacific",0.337743651098063,1988
"Michael S. Dukakis","Pacific",0.680124158623913,1988
"George Bush","South Atlantic",0.607940921629473,1988
"Michael S. Dukakis","South Atlantic",0.306602844736177,1988
"George Bush","West North Central",0.12532266136629,1988
"Michael S. Dukakis","West North Central",0.731329083637389,1988
"George Bush","West South Central",0.754736335512711,1988
"Michael S. Dukakis","West South Central",0.328221574079707,1988
"Ronald Reagan","East North Central",1.02972478200485,1984
"Walter F. Mondale","East North Central",0.0213399589765298,1984
"Ronald Reagan","East South Central",1.02369105281333,1984
"Walter F. Mondale","East South Central",0.159491762678728,1984
"Ronald Reagan","Middle Atlantic",1.11525168783896,1984
"Walter F. Mondale","Middle Atlantic",-0.133862513342986,1984
"Ronald Reagan","Mountain",1.43603110952282,1984
"Walter F. Mondale","Mountain",-0.564620743498999,1984
"Ronald Reagan","New England",1.14233009745018,1984
"Walter F. Mondale","New England",0.02371754114773,1984
"Ronald Reagan","Pacific",0.923500836085029,1984
"Walter F. Mondale","Pacific",-0.113595254238321,1984
"Ronald Reagan","South Atlantic",1.2099100772652,1984
"Walter F. Mondale","South Atlantic",-0.109254708583957,1984
"Ronald Reagan","West North Central",0.905843244074565,1984
"Walter F. Mondale","West North Central",0.0918093318090902,1984
"Ronald Reagan","West South Central",1.5498856807287,1984
"Walter F. Mondale","West South Central",-0.466646916876833,1984
"Jimmy Carter","East North Central",0.268898754115543,1980
