"candidate_name","division","pct_estimate","election_year"
"George Bush","New England",40.3880182783109,1988
"Michael S. Dukakis","New England",47.932310403071,1988
"George Bush","Pacific",42.6258643376344,1988
"Michael S. Dukakis","Pacific",47.3968327032258,1988
"George Bush","South Atlantic",46.3909812232012,1988
"Michael S. Dukakis","South Atlantic",42.191926660793,1988
"George Bush","West North Central",39.6658423739968,1988
"Michael S. Dukakis","West North Central",48.1103577784912,1988
"George Bush","West South Central",48.4365307228261,1988
"Michael S. Dukakis","West South Central",42.4931770869565,1988
"Ronald Reagan","East North Central",52.2684111899642,1984
"Walter F. Mondale","East North Central",38.2168750035842,1984
"Ronald Reagan","East South Central",52.1843330065789,1984
"Walter F. Mondale","East South Central",40.1419784210526,1984
"Ronald Reagan","Middle Atlantic",53.460202641791,1984
"Walter F. Mondale","Middle Atlantic",36.0541756985075,1984
"Ronald Reagan","Mountain",57.9301664380531,1984
"Walter F. Mondale","Mountain",30.0516906150442,1984
"Ronald Reagan","New England",53.8375320539683,1984
"Walter F. Mondale","New England",38.2500058888889,1984
"Ronald Reagan","Pacific",50.7882127717949,1984
"Walter F. Mondale","Pacific",36.3365937974359,1984
"Ronald Reagan","South Atlantic",54.779238543554,1984
"Walter F. Mondale","South Atlantic",36.3970779825784,1984
"Ronald Reagan","West North Central",50.5421595910714,1984
"Walter F. Mondale","West North Central",39.1988443071429,1984
"Ronald Reagan","West South Central",59.5166953015873,1984
"Walter F. Mondale","West South Central",31.4169261269841,1984
"Jimmy Carter","East North Central",41.6665316115702,1980
"John B. Anderson","East North Central",15.3378642981366,1980
"Ronald Reagan","East North Central",36.9216407493113,1980
"Jimmy Carter","East South Central",43.3060687142857,1980
"John B. Anderson","East South Central",2.8185542452381,1980
"Ronald Reagan","East South Central",44.056425297619,1980
"Jimmy Carter","Middle Atlantic",31.6575592768595,1980
"John B. Anderson","Middle Atlantic",16.2415336544118,1980
"Ronald Reagan","Middle Atlantic",38.616169785124,1980
"Jimmy Carter","Mountain",24.4484725543478,1980
"John B. Anderson","Mountain",12.2908263657895,1980
"Ronald Reagan","Mountain",46.8863356521739,1980
"Jimmy Carter","New England",26.001460502907,1980
"John B. Anderson","New England",23.9810594512195,1980
"Ronald Reagan","New England",31.3671504389535,1980
"Jimmy Carter","Pacific",28.8862432847826,1980
"John B. Anderson","Pacific",19.0198607869565,1980
"Ronald Reagan","Pacific",37.8895569543478,1980
"Jimmy Carter","South Atlantic",45.4251213079019,1980
